name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
Jardim Miradouro do Torel;;61;74;2805.5000000000;-9.1400000000;38.7200000000;308.4890000000;Lx089;-9.1410710339;38.7190115345
Jardim Lisboa Antiga;;62;75;5650.2500000000;-9.1500000000;38.7100000000;307.9610000000;Lx090;-9.1546474678;38.7115816570
Jardim do Palácio do Contador-Mor;;63;76;5317.8700000000;-9.1100000000;38.7600000000;327.7600000000;Lx091;-9.1129555677;38.7636669928
Jardim do Torel;;64;77;3139.8600000000;-9.1400000000;38.7200000000;460.2200000000;Lx092;-9.1417010441;38.7193869197
Jardim do Palácio Valle Flor;;65;78;10377.5400000000;-9.1900000000;38.7000000000;417.6450000000;Lx093;-9.1880231342;38.7030482797
Jardim da Luz / Parque Teixeira Rebelo;Espaços Verdes Vizinhança;66;79;7858.3800000000;-9.1800000000;38.7600000000;370.6340000000;Lx094;-9.1837272284;38.7610455279
Jardim da Praça de Goa;;67;80;3088.6000000000;-9.2200000000;38.7000000000;217.0410000000;Lx095;-9.2183407336;38.7009603360
Palácio Pimenta - Jardim de Bucho - Jardim Bordallo Pinheiro - Museu da Cidade;;68;81;2515.9100000000;-9.1600000000;38.7600000000;204.9590000000;Lx096;-9.1564286617;38.7580751097
PFM: Parque da Tapada da Ajuda;;69;82;1000000.0000000000;-9.1900000000;38.7100000000;5141.1900000000;Lx097;-9.1873511613;38.7128638998
Jardim do Museu Agrícola Tropical / Jardim do Ultramar;;70;83;65512.6700000000;-9.2000000000;38.7000000000;1195.9800000000;Lx098;-9.2022478009;38.6994037309
PFM: Parque Recreativo do Alvito;;71;84;63442.2200000000;-9.1900000000;38.7200000000;1177.6200000000;Lx099;-9.1862218604;38.7190860249
PFM: Espaço Biodiversidade - LX CRAS - Fito-ETAR;;0;0;157561.8700000000;-9.1800000000;38.7400000000;1768.9200000000;Lx015;-9.1840005011;38.7392951612
Parque do Monteiro-Mor / Quinta do Marquês de Angeja;;72;86;113989.0800000000;-9.1700000000;38.7800000000;1601.3500000000;Lx100;-9.1671267873;38.7757159175
